model_id,tokenizer_type,vocab_size,special_tokens,word_boundary_strategy,byte_fallback_or_byte_level,avg_tokens_per_english_word,avg_tokens_per_hebrew_word
meta-llama/Llama-3.1-8B-Instruct,TokenizersBackend,128256,"[""<|begin_of_text|>"", ""<|eot_id|>""]",GPT-style space marker (Ġ),byte_level,1.35,6.056
mistralai/Mistral-7B-Instruct-v0.3,TokenizersBackend,32768,"[""<s>"", ""</s>"", ""<unk>""]",SentencePiece underscore (▁),byte_fallback,1.65,6.278
Qwen/Qwen2.5-7B-Instruct,Qwen2Tokenizer,151665,"[""<|im_end|>"", ""<|endoftext|>"", ""<|im_start|>"", ""<|object_ref_start|>"", ""<|object_ref_end|>"", ""<|box_start|>"", ""<|box_end|>"", ""<|quad_start|>"", ""<|quad_end|>"", ""<|vision_start|>"", ""<|vision_end|>"", ""<|vision_pad|>"", ""<|image_pad|>"", ""<|video_pad|>""]",GPT-style space marker (Ġ),byte_level,1.35,2.222
allenai/OLMo-2-1124-7B-Instruct,TokenizersBackend,100278,"[""<|endoftext|>"", ""<|pad|>""]",GPT-style space marker (Ġ),byte_level,1.35,6.056
ibm-granite/granite-3.3-8b-instruct,GPT2Tokenizer,49159,"[""<|end_of_text|>"", ""<|start_of_role|>"", ""<|end_of_role|>"", ""<|tool_call|>"", ""<|start_of_cite|>"", ""<|end_of_cite|>"", ""<|start_of_plugin|>"", ""<|end_of_plugin|>""]",GPT-style space marker (Ġ),byte_level,1.7,5.222
deepseek-ai/DeepSeek-V3,TokenizersBackend,128815,"[""<｜begin▁of▁sentence｜>"", ""<｜end▁of▁sentence｜>""]",GPT-style space marker (Ġ),byte_level,1.3,2.5
HuggingFaceTB/SmolLM2-1.7B-Instruct,TokenizersBackend,49152,"[""<|im_start|>"", ""<|im_end|>"", ""<|endoftext|>""]",GPT-style space marker (Ġ),byte_level,1.4,6.778
microsoft/Phi-4-mini-instruct,TokenizersBackend,200029,"[""<|endoftext|>""]",GPT-style space marker (Ġ),byte_level,1.3,2.167
tiiuae/Falcon3-7B-Instruct,TokenizersBackend,131072,"[""<|endoftext|>"", ""<|pad|>"", "">>TITLE<<"", "">>ABSTRACT<<"", "">>INTRODUCTION<<"", "">>SUMMARY<<"", "">>COMMENT<<"", "">>ANSWER<<"", "">>QUESTION<<"", "">>DOMAIN<<"", "">>EMAIL_ADDRESS<<"", "">>IP_ADDRESS<<"", ""<|startoftext|>"", "">>IP_ADDRESS_0<<"", "">>IP_ADDRESS_1<<"", "">>IP_ADDRESS_2<<"", "">>IP_ADDRESS_3<<"", "">>IP_ADDRESS_4<<"", "">>IP_ADDRESS_5<<"", "">>IP_ADDRESS_6<<"", "">>IP_ADDRESS_7<<"", "">>IP_ADDRESS_8<<"", "">>IP_ADDRESS_9<<"", "">>PASSWORD<<"", "">>KEY<<""]",GPT-style space marker (Ġ),byte_level,1.4,5.278
dicta-il/dictalm2.0-instruct,TokenizersBackend,33152,"[""<s>"", ""</s>"", ""<unk>""]",SentencePiece underscore (▁),byte_fallback,1.65,2.778
